ncalls  tottime  percall  cumtime  percall filename:lineno(function)
1    0.000    0.000    1.360    1.360 <string>:1(<module>)
103    0.141    0.001    0.379    0.004 HUD.py:105(show_score)
103    0.001    0.000    0.002    0.000 HUD.py:20(render_pause_button)
103    0.001    0.000    0.002    0.000 HUD.py:32(pause_clicked)
103    0.136    0.001    0.357    0.003 HUD.py:55(show_character_health)
2987    0.011    0.000    0.019    0.000 HUD.py:86(show_enemy_health)
206    0.002    0.000    0.099    0.000 __init__.py:1131(resource_exists)
206    0.001    0.000    0.090    0.000 __init__.py:1147(resource_stream)
412    0.003    0.000    0.017    0.000 __init__.py:1390(__init__)
206    0.001    0.000    0.053    0.000 __init__.py:1403(has_resource)
412    0.003    0.000    0.026    0.000 __init__.py:1487(_fn)
412    0.003    0.000    0.014    0.000 __init__.py:1493(_validate_resource_path)
2472    0.005    0.000    0.041    0.000 __init__.py:1579(_parents)
412    0.002    0.000    0.072    0.000 __init__.py:1593(__init__)
412    0.003    0.000    0.053    0.000 __init__.py:1597(_setup_prefix)
206    0.001    0.000    0.038    0.000 __init__.py:1613(_has)
206    0.001    0.000    0.050    0.000 __init__.py:1622(get_resource_stream)
2060    0.004    0.000    0.006    0.000 __init__.py:2371(_is_egg_path)
412    0.001    0.000    0.001    0.000 __init__.py:3157(_always_object)
412    0.004    0.000    0.006    0.000 __init__.py:3167(_find_adapter)
412    0.004    0.000    0.083    0.000 __init__.py:353(get_provider)
6592    0.006    0.000    0.006    0.000 consistency_keeper.py:17(calculate_new_speed)
5974    0.002    0.000    0.002    0.000 enemies.py:23(get_y_coordinate)
5974    0.002    0.000    0.002    0.000 enemies.py:26(get_length)
2987    0.001    0.000    0.001    0.000 enemies.py:29(get_height)
2987    0.004    0.000    0.010    0.000 enemies.py:32(draw)
2987    0.002    0.000    0.002    0.000 enemies.py:43(get_x_coordinate)
2987    0.005    0.000    0.007    0.000 enemies.py:49(_improve_variables)
2987    0.007    0.000    0.015    0.000 enemies.py:53(movement)
3193    0.005    0.000    0.052    0.000 engines.py:111(platform_left_boundary)
3193    0.006    0.000    0.057    0.000 engines.py:121(platform_right_boundary)
103    0.000    0.000    0.000    0.000 engines.py:131(is_within_screen)
3193    0.002    0.000    0.002    0.000 engines.py:137(platform_side_scrolling)
12566    0.062    0.000    0.087    0.000 engines.py:14(on_platform)
2987    0.002    0.000    0.002    0.000 engines.py:141(enemy_side_scrolling)
103    0.001    0.000    0.002    0.000 engines.py:147(player_whip)
2987    0.021    0.000    0.028    0.000 engines.py:157(player_enemy_interactions)
2987    0.008    0.000    0.008    0.000 engines.py:184(enemy_whip_interactions)
6386    0.047    0.000    0.099    0.000 engines.py:28(platform_side_boundaries)
3193    0.005    0.000    0.008    0.000 engines.py:73(_improve_variables)
3193    0.008    0.000    0.037    0.000 engines.py:79(player_is_on_platform)
103    0.000    0.000    0.000    0.000 engines.py:86(do_gravity)
103    0.000    0.000    0.000    0.000 engines.py:90(is_beyond_screen_right)
103    0.000    0.000    0.000    0.000 engines.py:96(is_beyond_screen_left)
1    0.019    0.019    1.360    1.360 game_mechanics.py:34(run_game)
2987    0.011    0.000    0.051    0.000 game_renderer.py:17(_render_enemy)
103    0.006    0.000    0.058    0.001 game_renderer.py:23(render_enemies)
103    0.005    0.000    0.028    0.000 game_renderer.py:27(draw_everything)
103    0.006    0.000    0.042    0.000 game_renderer.py:36(interactions_runner)
103    0.018    0.000    0.180    0.002 game_renderer.py:41(render_players_and_platforms)
3193    0.005    0.000    0.007    0.000 game_renderer.py:9(player_platform_runner)
30    0.000    0.000    0.000    0.000 generator.py:10(platform_copy)
30    0.000    0.000    0.044    0.001 generator.py:101(generate_platform)
29    0.000    0.000    0.000    0.000 generator.py:116(generate_enemy)
30    0.000    0.000    0.001    0.000 generator.py:24(generate_platform_x_coordinate)
30    0.025    0.001    0.025    0.001 generator.py:44(jump_seconds)
30    0.017    0.001    0.017    0.001 generator.py:67(needed_y_coordinate)
206    0.001    0.000    0.037    0.000 genericpath.py:16(exists)
412    0.001    0.000    0.001    0.000 inspect.py:488(getmro)
103    0.000    0.000    0.001    0.000 items.py:32(_improve_variables)
103    0.000    0.000    0.001    0.000 items.py:39(render)
3708    0.019    0.000    0.024    0.000 ntpath.py:124(splitdrive)
2472    0.025    0.000    0.048    0.000 ntpath.py:180(split)
412    0.001    0.000    0.014    0.000 ntpath.py:221(dirname)
2884    0.002    0.000    0.004    0.000 ntpath.py:34(_get_bothseps)
412    0.003    0.000    0.007    0.000 ntpath.py:61(isabs)
412    0.004    0.000    0.009    0.000 ntpath.py:77(join)
206    0.002    0.000    0.190    0.001 pkgdata.py:46(getResource)
18952    0.007    0.000    0.007    0.000 platforms.py:16(get_x_coordinate)
18952    0.007    0.000    0.007    0.000 platforms.py:19(get_y_coordinate)
3193    0.004    0.000    0.010    0.000 platforms.py:28(draw)
103    0.001    0.000    0.001    0.000 players.py:33(_improve_variables)
103    0.001    0.000    0.003    0.000 players.py:43(draw)
3090    0.001    0.000    0.001    0.000 players.py:47(get_height)
19261    0.006    0.000    0.006    0.000 players.py:50(get_x_coordinate)
19261    0.008    0.000    0.008    0.000 players.py:53(get_y_coordinate)
103    0.000    0.000    0.000    0.000 players.py:59(change_y_coordinate)
12772    0.005    0.000    0.005    0.000 players.py:62(get_length)
103    0.000    0.000    0.000    0.000 players.py:65(is_dead)
103    0.002    0.000    0.005    0.000 players.py:71(movements)
412    0.001    0.000    0.001    0.000 posixpath.py:41(_get_sep)
412    0.001    0.000    0.003    0.000 posixpath.py:60(isabs)
60    0.000    0.000    0.000    0.000 random.py:237(_randbelow_with_getrandbits)
60    0.000    0.000    0.001    0.000 random.py:290(randrange)
30    0.000    0.000    0.000    0.000 random.py:334(randint)
1    0.000    0.000    0.000    0.000 score_keeper.py:10(__init__)
103    0.008    0.000    0.387    0.004 score_keeper.py:13(give_score)
1    0.000    0.000    1.360    1.360 {built-in method builtins.exec}
1648    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
8240    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
6828    0.002    0.000    0.002    0.000 {built-in method builtins.len}
412    0.003    0.000    0.050    0.000 {built-in method builtins.next}
206    0.037    0.000    0.037    0.000 {built-in method io.open}
7416    0.002    0.000    0.002    0.000 {built-in method nt.fspath}
206    0.036    0.000    0.036    0.000 {built-in method nt.stat}
1    0.089    0.089    0.089    0.089 {built-in method pygame.base.quit}
103    0.048    0.000    0.048    0.000 {built-in method pygame.display.update}
12669    0.024    0.000    0.024    0.000 {built-in method pygame.draw.rect}
104    0.072    0.001    0.072    0.001 {built-in method pygame.event.get}
103    0.002    0.000    0.002    0.000 {built-in method pygame.key.get_pressed}
103    0.000    0.000    0.000    0.000 {built-in method pygame.mouse.get_pos}
103    0.000    0.000    0.000    0.000 {built-in method pygame.mouse.get_pressed}
104    0.000    0.000    0.000    0.000 {built-in method time.time}
59    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
60    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
206    0.003    0.000    0.003    0.000 {method 'blit' of 'pygame.Surface' objects}
103    0.000    0.000    0.000    0.000 {method 'collidepoint' of 'pygame.Rect' objects}
1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
2060    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
104    0.012    0.000    0.012    0.000 {method 'fill' of 'pygame.Surface' objects}
206    0.000    0.000    0.000    0.000 {method 'get_rect' of 'pygame.Surface' objects}
102    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
2060    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
206    0.263    0.001    0.263    0.001 {method 'render' of 'pygame.font.Font' objects}
4120    0.003    0.000    0.003    0.000 {method 'replace' of 'str' objects}
